Code;Strand;Goal;Goal Short Name;Objective;Core Keywords;Elective Keywords;Core Rubric Level;Frontend Path;Backend Path
BUS23;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can apply coherent and strategic methods and tools to validate a business  idea;;Idea Valuation;;;
BUS24;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can identify the key factors of a competitive analysis;;Competitive analysis;;;
BUS25;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can apply strategic thinking,  tools and practices plan a sustainable and scalable business;;Strategic mindset;;;
BUS26;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can effectively apply digital marketing tools to promote a business.;;Digital Marketing;;;
BUS27;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can identify public | private financial incentives to support and carry out business  creation and development;;Finance;;;
BUS28;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can explain the key elements of a  Business Plan;;Business Plan;;;
BUS29;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can create a policy and strategy to attract investors/stakeholders to support the development and success of a business project;;Investors;;;
BUS30;App Business and Marketing;Learn about entrepreneurship and  social entrepreneurship opportunities for app business and marketing.;Entrepreneurship;I can pitch a business idea/project,  to attract stakeholder support.;;Pitches;;;
BUS31;App Business and Marketing;Learn about basic legal issues surrounding the development,  marketing and distribution of apps.;Legal Guidelines;I can describe Apple’s legal requirements when marketing and distributing  apps.;Legal,  Apple requirements;;Progressing;;
BUS32;App Business and Marketing;Learn about basic legal issues surrounding the development,  marketing and distribution of apps.;Legal Guidelines;I can properly address privacy concerns when developing apps.;Legal,  Privacy concerns;;Progressing;;
BUS33;App Business and Marketing;Learn about basic legal issues surrounding the development,  marketing and distribution of apps.;Legal Guidelines;I can apply the different and most suitable types of intellectual Property Rights licenses to my work.;;Legal Intellectual,  property;;;
BUS34;App Business and Marketing;Learn about basic legal issues surrounding the development,  marketing and distribution of apps.;Legal Guidelines;I can appropriately handle user privacy and  data use in Apps,  and understand how to describe how my app uses data on my App Store Product Page;legal,  user data,  privacy,  data use;;Progressing;;
BUS35;App Business and Marketing;Learn how to correctly follow App Store Guidelines.;Store Guidelines;I can correctly and effectively use App Store badges,  Apple product images,  and Apple identity guidelines to effectively promote my app’s availability.;app store guidelines,  identity guidelines,  badges,  produce images;;Progressing;;
BUS36;App Business and Marketing;Learn how to correctly follow App Store Guidelines.;Store Guidelines;I can describe and effectively follow the App Store Review Guidelines to get an app approved;app store guidelines,  App store review;;Progressing;;
BUS37;App Business and Marketing;Learn how to correctly follow App Store Guidelines.;Store Guidelines;I can explain the common reasons for app rejections.;;app store guidelines,  app rejection;;;
BUS38;App Business and Marketing;Learn how to correctly follow App Store Guidelines.;Store Guidelines;I can effectively use TestFlight Beta Testing to identify and resolve issues with apps before releasing it to the app store.;;;;;
BUS39;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can use ratings,  reviews and responses to reviews to improve app’s discoverability,  encourage downloads,  craft updates,  and build rapport with users.;;Product Page and Discovery,  app ratings;;;
BUS40;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can explain how to optimize Apps for App Store Search;;Product Page and Discovery,  Search optimization;;;
BUS41;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can apply optimization strategies to help customers find and engage with an app.;;Product Page and Discovery,  Search optimization strategies;;;
BUS42;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I understand the considerations App Store editors take into account when deciding to “feature” apps in the App Store;;Product Page and Discovery,  Getting Featured;;;
BUS43;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can create an effective Product Page that help users discover my app and engage them through thoughtfully crafted metadata.;;Product Page and Discovery,  Product page,  metadata;;;
BUS44;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can create compelling app previews that spark interest and drive downloads of an app using footage captured on device.;;Product Page and Discovery,  previews;;;
BUS45;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can explore and compare categories to choose which best describes my app.;;Product Page and Discovery,  categories;;;
BUS46;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can describe and leverage the discovery features of the app store to effectively market apps.;;Product Page and Discovery features;;;
BUS47;App Business and Marketing;Learn how to craft an effective presence in the app store.;Store Presence;I can publish an app as a pre-order.;;Product Page and Discovery,  app pre-order;;;
BUS48;App Business and Marketing;Learn about how they keep their apps relevant,  attract new users and retain existing users after the launch.;User Engagement;I can use app updates to engage with users;;User engagement,  app updates;;;
BUS49;App Business and Marketing;Learn about how they keep their apps relevant,  attract new users and retain existing users after the launch.;User Engagement;I can plan,  present,  and promote live events in games to help grow business.;;User engagement,  live events;;;
BUS50;App Business and Marketing;Learn about how they keep their apps relevant,  attract new users and retain existing users after the launch.;User Engagement;I can prepare an app for a global audience,  and help users around the world discover and download my app;;User engagement | Localization,  global audience;;;
DES01;Design;Learn to design with accessibility in mind for all users.;Accessibility;| can design dynamic and accessible typographic hierarchy experiences,  effectively audit and test an app for accessibility and provide closed captions and audio descriptions for video content and alternate descriptions and text for all images and infographics in an app. ;Accessibility, Typography, Accessibility type,  Dynamic type,  Audit,  Closed caption,  alternate descriptions;;Progressing;;
DES02;Design;Learn to design with accessibility in mind for all users.;Accessibility;I can design apps with sufficient contrast ratios and color schemes tested for the different types of color blindness.;contrast ratios,  color schemes, color blindness;;Progressing;;
DES03;Design;Learn to design with accessibility in mind for all users.;Accessibility;I can design an app: with VoiceOver support for every onscreen element,  with consistent and accessible gestures,  haptics,  buttons and controls,  and with support for Reduce Transparency and Reduce Motion accessibility settings.;Design VoiceOver,  Controls,  Reduce transparency;;Progressing;;
DES04;Design;Learn to design brand identity and marketing materials for apps.;Branding;I can create and maintain App Store assets previews,  screenshots,  description,  promotional text,  and keywords for my apps.;assets,  previews,  screenshots,  description,  promotional text,  keywords, App Store;;Progressing;;
DES05;Design;Learn to design brand identity and marketing materials for apps.;Branding;I can conduct visual research to define the visual style of a project.;visual research,  style;;Progressing;;
DES06;Design;Learn to design brand identity and marketing materials for apps.;Branding;I can create a Design System including buttons,  UI elements and other components.;;design system buttons,  design system UI elements;;;
DES07;Design;Learn to design brand identity and marketing materials for apps.;Branding;I can design branding guidelines for a variety of marketing materials.;;Marketing materials, branding, guidelines;;;
DES08;Design;Learn to design brand identity and marketing materials for apps.;Branding;I can create a UI Style Guide including typography scheme and color palette.;;UI Style Guide;;;
DES09;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can effectively apply the principles of Hierarchy,  Alignment,  White Space and Contrast to visual layouts ;Hierarchy,  White space, contrast, alignment;;Progressing;;
DES10;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can effectively apply color theory and color spaces to create well balanced color palettes;color theory,  color spaces,  color palettes;;Progressing;;
DES11;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can effectively apply the principles of Gestalt theory to design visual layouts;gestalt theory,  visual layouts;;Progressing;;
DES12;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can create and export visual assets in the appropriate format raster resolution,  vector,  and file type according to the project needs and export properly sized images to support all devices.;Image formats,  file type,  raster,  vector,  resolution,  image size;;Progressing;;
DES13;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can apply the fundamental principles of design and typography to create clear and usable hierarchy using type: emphasizing important information, and prioritizing content when users change text size.;Typography,  typographical hierarchy,  usability,  prioritizing content,  dynamic type,  accessibility type;;Progressing;;
DES14;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can effectively apply color theory principles and color wheel to create color schemes;;color theory,  color wheel,  color schemes;;;
DES15;Design;Learn to apply the fundamental elements of Visual and Communication design to App Development.;Design fundamentals;I can demonstrate the difference between Readability and Legibility;;readability,  legibility;;;
DES16;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can describe the design differences between: an app and a game,  and using gamification and creating a game.;game, gamification;;Progressing;;
DES17;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can develop a Creative Direction document with an output of a Scenario Script and Concept Art.;;creative direction document,  scenario script,  ;;;
DES18;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can create appropriate game assets such as GUI,  2D Sprites,  3D Models,  etc.;;game assets, GUI,  2D Sprites,  3D Models;;;
DES19;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can produce game design documentation and a project management plan.;;gdd,  game management plan;;;
DES20;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can generate ideas for games and define the Core Loop of a game mechanic.;;game mechanics,  core loop;;;
DES21;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I understand the difference between usability testing and play-testing.;;game usability testing,  play testing;;;
DES22;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I understand how to prototype a game with scripts.;;game prototype,  game scripts;;;
DES23;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I understand how to prototype a game off-code.;;game lo-fi prototype;;;
DES24;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can design a full level of a game.;;game levels;;;
DES25;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I understand the Pachinko Effect and Game Player Gratification/Addiction.;;player gratification/addiction;;;
DES26;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design an effective custom keyboard to enhance the iOS user experience.;;custom keyboard design;;;
DES27;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design consistent and effective user experiences with App extensions.;;Document provider,  Home screen quick action,  Input View,  Messages,  Photo Editing,  Sharing,  Sticker Pack;;;
DES28;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design consistent and thoughtful widgets that give users the ability to see data at a glance from their home,  lock,  and search screens.;;data at a glance, widget;;;
DES29;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design Map experiences that are interactive with annotations that match the visual style of my app.;;map experience,  map styles, map annotations;;;
DES30;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design apps that use Sign In with Apple for authentication.;;authentication, sign in with apple;;;
DES31;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design Sign In with Apple experience using the standard buttons positioned and sized correctly on contrasting backgrounds.;;sign in with apple button;;;
DES32;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design Siri interactions for appropriate domains and intents in my app.;;siri interactions;;;
DES33;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design Siri Shortcut Responses to be natural,  relevant and accurate.;;siri shortcut responses,;;;
DES34;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design useful and long-lasting Siri Shortcuts that accelerate common,  useful activities.;;siri shortcuts;;;
DES35;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design easy to use App Clip experiences that focus on essential features.;;app clips;;;
DES36;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design wallet passes that look great and update when information changes.;;wallet passes, wallet;;;
DES37;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design consistent and engaging Augmented Reality AR experiences that consider the user’s safety and comfort.;;augmented reality experiences,  AR,  AR comfort,  AR safety;;;
DES38;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I understand how to implement an unobtrusive and appropriate request for feedback within an app.;;feedback request;;;
DES39;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design apps that consistently support multiple windows when appropriate.;;multiple windows;;;
DES40;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design apps that thrive in multitasking environments.;;multitasking;;;
DES41;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can design great and consistent notification experiences.;;notification experiences;;;
DES42;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can implement QuickView support inside an app where appropriate.;;quickView ;;;
DES43;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;Hig Advanced;I can support the native screenshot process,  and alert users when screenshots are taken by another user or on another device when appropriate.;;screenshot process;;;
DES44;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design effective system-provided alerts to request personal information;system-provided alerts;;Progressing;;
DES45;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design navigation in a way that supports the structure and purpose of the app without calling attention to itself using standard components and demonstrate knowledge of the three main styles of navigation: hierarchical, flat and content/experience driven.;hierarchical navigation,  flat navigation,  content/experience driven navigation.;;Progressing;;
DES46;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design onboarding and launch experiences that are fast,  fun and educational without asking for setup information until it is needed.;Onboarding, launch;;Progressing;;
DES47;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I know how to request personal data only when my app clearly needs it,  and clearly explain why the information is needed.;Personal data requests;;Progressing;;
DES48;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design consistent,  effective,  and appropriate Bars with proper controls.;Design nav bar,  status bar,  tab bar,  search bar,  toolbar;;Progressing;;
DES49;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design consistent,  accessible and thoughtful controls where appropriate in my app.;segmented control,  picker,  button,  slider,  text field,  context menu,  edit menu,  page control,  progess indicator,  stepper,  switch;;Progressing;;
DES50;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design user experiences and interfaces that demonstrate a mastery of all the iOS Design Themes and Principles;Aesthetic Integrity,  Clarity,  Consistency,  Deference,  Depth,  Direct Manipulation,  Feedback;;Progressing;;
DES51;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design appropriate and consistent authentication experiences.;Authentication;;Progressing;;
DES52;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design effective and efficient data entry experiences with the appropriate keyboard type ;Efficient Data entry,  keyboard type;;Progressing;;
DES53;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can effectively and consistently incorporate gestures.;Gestures;;Progressing;;
DES54;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can effectively and consistently incorporate haptics to enhance user feedback experiences.;Haptic feedback;;Progressing;;
DES55;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design consistent,  effective  and appropriate views in an app.;Design action sheet,  activity view,  alert,  collection view,  image view,  scroll view,  table view,  list view,  text view,  page views,  iPad popover,  iPad split view,  web view;;Progressing;;
DES56;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design apps supporting Auto Layout and size classes to support multiple devices and screen sizes.;Auto layout, screen sizes, multiple device support;;Progressing;;
DES57;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can use refined,  unobtrusive design decisions to incorporate my brand into my app while deferring to content.;Brand incorporation;;Progressing;;
DES58;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can use color and contrast effectively throughout an app to create consistent and clear communication.;Color and contrast;;Progressing;;
DES59;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design and test colors that adapt to Dark Mode with sufficient contrast ratios even when users enable accessibility features.;Dark mode support, contrast ratios;;Progressing;;
DES60;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design consistent and judicious animations to convey context and feedback to users.;Animations, context, feedback;;Progressing;;
DES61;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design beautiful and memorable home screen icons for my apps.;App icons, home screen icons;;Progressing;;
DES62;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design a launch screen that gives the impression that my app is fast and responsive.;Launch screen;;Progressing;;
DES63;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can effectively use familiar and informal terminology inside an app to help users feel comfortable.;Terminology, familiar, informal;;Progressing;;
DES64;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can use visual weight,  balance and alignment to convey hierarchy,  communicate importance and facilitate easily tappable content.;Visual balance,  weight,  tappable content;;Progressing;;
DES65;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can appropriately use modality to focus people’s attention on making a choice or performing a task that is different from their current task.;Modal, modality, focus user attention;;Progressing;;
DES66;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design apps with clear and informative loading experiences when necessary;;Loading experience;;;
DES67;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design effective processes for adjusting settings where appropriate.;;Settings;;;
DES68;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design experiences that effectively use Apple Pencil.;;Apple Pencil;;;
DES69;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design great and appropriate audio experiences.;;Audio;;;
DES70;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design effective and consistent drag and drop features.;;Drag and drop;;;
DES71;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design unobtrusive status feedback experiences.;;status feedback;;;
DES72;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design apps that effectively and consistently handle files and instill confidence in the user.;;File handling;;;
DES73;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design succinct and consistent Near Field Communication NFC experiences.;;Near field communication, NFC;;;
DES74;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design effective and consistent undo and redo implementations.;;Undo and redo;;;
DES75;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design consistent,  simplified glyph icons and system icons for my apps if I am not using SF Symbols.;;Glyph icons,  system icons;;;
DES76;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design a sense of depth with system-defined materials.;;visual design materials, depth;;;
DES77;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;Hig Basic;I can design great experiences playing back video in an app.;;visual design video;;;
DES78;Design;Learn to prototype user experiences choosing the appropriate fidelity of prototype.;Prototyping;I can create interactive/tappable prototypes using standard design tools, such as Sketch.;hi-fi prototpypes;;Progressing;;
DES79;Design;Learn to prototype user experiences choosing the appropriate fidelity of prototype.;Prototyping;I can create low fidelity paper prototypes and sketches.;low-fi prototypes;;Progressing;;
DES80;Design;Learn to prototype user experiences choosing the appropriate fidelity of prototype.;Prototyping;I can design informative UI/User Flows;UI/User Flow;;Progressing;;
DES81;Design;Learn to prototype user experiences choosing the appropriate fidelity of prototype.;Prototyping;I can create advanced interactive prototypes with animation,  transitions and user interactions using standard design tools;;interactive prototypes, advanced design tools;;;
DES82;Design;Learn to prototype user experiences choosing the appropriate fidelity of prototype.;Prototyping;I can design low fidelity wireframes;wireframes;;;;
DES83;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;"I can learn when to apply the methods of Design Thinking: ideate;  iterate and refine; and problem definition for an empathetic human-centric design process";design thinking, human-centric design, ideation;;Progressing;;
DES84;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can evaluate usability,  recognize flaws and problems,  and provide recommendations to improve design;usability;;Progressing;;
DES85;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can collect user feedback,  evaluate,  prioritize and present my findings;user design, user feedback;;Progressing;;
DES86;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can create authentic and well researched User Personas;user pesonas;;Progressing;;
DES87;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can conduct user testing sessions in person and remotely;user testing;;Progressing;;
DES88;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can create User Journey maps;;user journey maps;;;
PROC01;Process;Learn how to identify to effectively use the Engage phase to develop a compelling and actionable challenge.;Engage;I can identify Big Ideas that are personally meaningful and may have local and/or global significance;CBL,  big idea;;Progressing;;
PROC02;Process;Learn how to identify to effectively use the Engage phase to develop a compelling and actionable challenge.;Engage;I can use essential questioning to derive a specific,  clear and meaningful essential question from a Big Idea;CBL,  essential question;;Progressing;;
PROC03;Process;Learn how to identify to effectively use the Engage phase to develop a compelling and actionable challenge.;Engage;I can construct an appropriate,  compelling,  and actionable challenge from an essential question.;CBL,  challenge;;Progressing;;
PROC04;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate ;I can develop effective Guiding Questions that include multiple perspectives.;CBL,  guiding questions;;Progressing;;
PROC05;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate ;I can effectively  categorize and prioritize Guiding Questions;CBL,  Guiding Question categorization and prioritization;;Progressing;;
PROC06;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate ;I can identify and create appropriate guiding resources and activities to effectively answer the Guiding Questions.;CBL,  guiding activities;;Progressing;;
PROC07;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate ;I can effectively summarize what was learned from answering the specific Guiding Questions.;CBL,  sumarization;;Progressing;;
PROC08;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate ;I can create and present a clear,  and accurate synthesis that articulates what was learned through the Investigation.;CBL,  synthesis;;Progressing;;
PROC09;Process;Learn how to conduct general and domain level research to identify viable solutions to their challenges.;Investigate ;I can create an effective research plan to Investigate the guiding questions. ;CBL,  research plan;;Progressing;;
PROC10;Process;Learn how to effectively use different research methods.;Investigate ;I can conduct effective field research.;CBL,  field research,  qualitative research,  ethnography,  grounded theory;;Progressing;;
