Code;New Code;Strand;Goal;Goal Short Name;Objective;Keywords;Challenge;Core / Elective;Progressing;Backend;Business;Design;Frontend;Game Design;Game Developer;Project Management
DES19;DSG-04-004;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can produce game design documentation and a project management plan.;Game design and art direction, gdd, game management plan;;;;;;;;Exemplary;Proficient;
DES20;DSG-04-005;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can generate ideas for games and define the Core Loop of a game mechanic.;Game design and art direction, game mechanics,  core loop;MC2;;;;;;;Exemplary;Proficient;
DES21;DSG-04-006;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I understand the difference between usability testing and play-testing.;Game design and art direction, game usability testing, play testing;MC2;;;;;;;Exemplary;Exemplary;
DES22;DSG-04-007;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I understand how to prototype a game with scripts.;Game design and art direction, game prototype,  game scripts;;;;;;;;Exemplary;Proficient;
DES23;DSG-04-008;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I understand how to prototype a game off-code.;Game design and art direction, game lo-fi prototype;MC2, NCX;;;;;;;Exemplary;Exemplary;
DES24;DSG-04-009;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I can design a full level of a game.;Game design and art direction, game levels;;;;;;;;Exemplary;Progressing;
DES25;DSG-04-010;Design;Learn and apply the principles of Game Design and Game Art Direction;Game design and art direction;I understand the Pachinko Effect and Game Player Gratification/Addiction.;Game design and art direction, player gratification/addiction;MC2;;;;;;;Exemplary;Proficient;
DES26;DSG-05-001;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design an effective custom keyboard to enhance the iOS user experience.;Hig Advanced, custom keyboard design;;;;;;Progressing;;;;
DES27;DSG-05-002;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design consistent and effective user experiences with App extensions.;Hig Advanced, Document provider,  Home screen quick action,  Input View,  Messages,  Photo Editing,  Sharing,  Sticker Pack;;;;;;Progressing;Progressing;;;
DES28;DSG-05-003;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design consistent and thoughtful widgets that give users the ability to see data at a glance from their home, lock and search screens.;Hig Advanced, data at a glance, widget;;;;;;Progressing;Progressing;;;
DES29;DSG-05-004;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design Map experiences that are interactive with annotations that match the visual style of my app.;Hig Advanced, map experience,  map styles, map annotations;;;;;;Progressing;Exemplary;;;
DES30;DSG-05-005;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design apps that use Sign In with Apple for authentication.;Hig Advanced, authentication, sign in with apple;;;;;;Progressing;Progressing;;;
DES31;DSG-05-006;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design Sign In with Apple experience using the standard buttons positioned and sized correctly on contrasting backgrounds.;Hig Advanced, sign in with apple button;;;;;;Proficient;Progressing;;;
DES32;DSG-05-007;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design Siri interactions for appropriate domains and intents in my app.;Hig Advanced, siri interactions;;;;;;Progressing;Progressing;;;
DES33;DSG-05-008;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design Siri Shortcut Responses to be natural,  relevant and accurate.;Hig Advanced, siri shortcut responses,;;;;;;Progressing;;;;
DES34;DSG-05-009;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design useful and long-lasting Siri Shortcuts that accelerate common, useful activities.;Hig Advanced, siri shortcuts;;;;;;Progressing;;;;
DES35;DSG-05-010;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design easy to use App Clip experiences that focus on essential features.;Hig Advanced, app clips;;;;;;Progressing;Progressing;;;
DES36;DSG-05-011;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design wallet passes that look great and update when information changes.;Hig Advanced, wallet passes, wallet;;;;;;Progressing;;;;
DES37;DSG-05-012;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can design consistent and engaging Augmented Reality AR experiences that consider the user’s safety and comfort.;Hig Advanced, augmented reality experiences,  AR,  AR comfort,  AR safety;;;;;;Progressing;Progressing;;;
DES38;DSG-05-013;Design;Learn to create apps adhering to advanced platform standards, technologies and system capabilities using the Human Interface Guidelines.;HIG Advanced;I understand how to implement an unobtrusive and appropriate request for feedback within an app.;Hig Advanced, feedback request;;;;;;Proficient;;Progressing;Progressing;
DES39;DSG-05-014;Design;Learn to create apps adhering to advanced platform standards,  technologies and system capabilities using the Human Interface Guidelines.;HIG Advanced;I can design apps that consistently support multiple windows when appropriate.;Hig Advanced, multiple windows;;;;;;Progressing;Proficient;;;
DES40;DSG-05-015;Design;Learn to create apps adhering to advanced platform standards, technologies and system capabilities using the Human Interface Guidelines.;HIG Advanced;I can design apps that thrive in multitasking environments.;Hig Advanced, multitasking;;;;;;Progressing;Proficient;;;
DES41;DSG-05-016;Design;Learn to create apps adhering to advanced platform standards, technologies and system capabilities using the Human Interface Guidelines.;HIG Advanced;I can design great and consistent notification experiences.;Hig Advanced, notification experiences;NCX;;;;;Exemplary;Exemplary;Progressing;Progressing;
DES42;DSG-05-017;Design;Learn to create apps adhering to advanced platform standards,  technologies,  and system capabilities using the Human Interface Guidelines;HIG Advanced;I can implement QuickView support inside an app where appropriate.;Hig Advanced, quickView ;;;;;;Progressing;;;;
DES43;DSG-05-018;Design;Learn to create apps adhering to advanced platform standards,  technologies and system capabilities using the Human Interface Guidelines.;HIG Advanced;I can support the native screenshot process and alert users when screenshots are taken by another user or on another device when appropriate.;Hig Advanced, screenshot process;;;;;;Progressing;;;;
DES44;DSG-06-001;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design effective system-provided alerts to request personal information;Hig Basic, system-provided alerts, ;MC3;Core;Progressing;;;Proficient;Exemplary;;;
DES45;DSG-06-002;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design navigation in a way that supports the structure and purpose of the app without calling attention to itself using standard components and demonstrate knowledge of the three main styles of navigation: hierarchical, flat and content/experience driven.;Hig Basic, hierarchical navigation,  flat navigation,  content/experience driven navigation., ;MC1, MC2;Core;Progressing;;;Exemplary;Exemplary;;;
DES46;DSG-06-003;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design onboarding and launch experiences that are fast, fun and educational without asking for setup information until it is needed.;Hig Basic, Onboarding, launch, ;NCX;Core;Progressing;;;Exemplary;Proficient;;Beginning;
DES47;DSG-06-004;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I know how to request personal data only when my app clearly needs it, and clearly explain why the information is needed.;Hig Basic, Personal data requests, ;MC3, NCX;Core;Progressing;;;Exemplary;Exemplary;;Progressing;
DES48;DSG-06-005;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design consistent, effective and appropriate Bars with proper controls.;Hig Basic, Design nav bar,  status bar,  tab bar,  search bar,  toolbar, ;MC1, NC2;Core;Progressing;;;Exemplary;Exemplary;;;
DES49;DSG-06-006;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design consistent, accessible and thoughtful controls where appropriate in my app.;Hig Basic, segmented control,  picker,  button,  slider,  text field,  context menu,  edit menu,  page control,  progess indicator,  stepper,  switch, ;NC2;Core;Progressing;;;Exemplary;Exemplary;;;
DES50;DSG-06-007;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design user experiences and interfaces that demonstrate a mastery of all the iOS Design Themes and Principles.;Hig Basic, Aesthetic Integrity,  Clarity,  Consistency,  Deference,  Depth,  Direct Manipulation,  Feedback, ;MC2, NC2, NCX;Core;Progressing;;;Exemplary;;;;
DES51;DSG-06-008;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design appropriate and consistent authentication experiences.;Hig Basic, Authentication, ;;Core;Progressing;;;Exemplary;;;;
DES52;DSG-06-009;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design effective and efficient data entry experiences with the appropriate keyboard type.;Hig Basic, Efficient Data entry,  keyboard type, ;;Core;Progressing;;;Proficient;Proficient;Progressing;Progressing;
DES53;DSG-06-010;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can effectively and consistently incorporate gestures.;Hig Basic, Gestures, ;NCX;Core;Progressing;;;Proficient;Proficient;Proficient;Proficient;
DES54;DSG-06-011;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can effectively and consistently incorporate haptics to enhance user feedback experiences.;Hig Basic, Haptic feedback, ;NC2;Core;Progressing;;;Proficient;Proficient;Proficient;Proficient;
DES55;DSG-06-012;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design consistent, effective and appropriate views in an app.;Hig Basic, Design action sheet,  activity view,  alert,  collection view,  image view,  scroll view,  table view,  list view,  text view,  page views,  iPad popover,  iPad split view,  web view, ;MC1, MC2, NC2;Core;Progressing;;;Exemplary;Exemplary;;;
DES56;DSG-06-013;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design apps supporting Auto Layout and size classes to support multiple devices and screen sizes.;Hig Basic, Auto layout, screen sizes, multiple device support, ;NCX;Core;Progressing;;;Exemplary;Exemplary;;;
DES57;DSG-06-014;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can use refined, unobtrusive design decisions to incorporate my brand into my app while deferring to content.;Hig Basic, Brand incorporation, ;MC3, NCX;Core;Progressing;;;Exemplary;;;;
DES58;DSG-06-015;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can use color and contrast effectively throughout an app to create consistent and clear communication.;HIG Basic, Color and Contrast;MC1, NC2;Core;Progressing;;;Exemplary;Proficient;Progressing;Progressing;
DES59;DSG-06-016;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design and test colors that adapt to dark mode with sufficient contrast ratios even when users enable accessibility features.;HIG Basic, Dark Mode support, Contrast Ratios;NC2;Core;Progressing;;;Proficient;Proficient;;;
DES60;DSG-06-017;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design consistent and judicious animations to convey context and feedback to users.;HIG Basic, Animations, Context, Feedback;NCX;Core;Progressing;;;Proficient;;Proficient;Proficient;
DES61;DSG-06-018;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design beautiful and memorable home screen icons for my apps.;HIG Basic, App icons, Home Screen Icons;MC1, MC3, NC2;Core;Progressing;;;Exemplary;;;;
DES62;DSG-06-019;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design a launch screen that gives the impression that my app is fast and responsive.;HIG Basic, Launch screen;MC;Core;Progressing;;;Exemplary;;;;
DES63;DSG-06-020;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can effectively use familiar and informal terminology inside an app to help users feel comfortable.;HIG Basic, Terminology, Familiar, Informal;MC1, NCX;Core;Progressing;;;Exemplary;;;;
DES64;DSG-06-021;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can use visual weight, balance and alignment to convey hierarchy, communicate value and facilitate easily tappable content.;HIG Basic, Visual Balance,  Weight, Tappable Content;MC1;Core;Progressing;;;Exemplary;;;;
DES65;DSG-06-022;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can appropriately use modality to focus people’s attention on making a choice or performing a task that is different from their current task.;Hig Basic, Modal, modality, focus user attention, ;MC1;Core;Progressing;;;Exemplary;Exemplary;;;
DES66;DSG-06-023;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design apps with clear and informative loading experiences when necessary.;Hig Basic, Loading experience;MC1;;;;;Progressing;Exemplary;;;
DES67;DSG-06-024;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design effective processes for adjusting settings where appropriate.;HIG Basic, Settings;;;;;;Exemplary;Progressing;Progressing;Progressing;
DES68;DSG-06-025;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design experiences that effectively use Apple Pencil.;HIG Basic, Apple Pencil;;;;;;Beginning;;;;
DES69;DSG-06-026;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design great and appropriate audio experiences.;Hig Basic, Audio;;;;;;Progressing;;Progressing;Progressing;
DES70;DSG-06-027;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design effective and consistent drag and drop features.;HIG Basic, Drag and Drop;;;;;;Progressing;Proficient;;;
DES71;DSG-06-028;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design unobtrusive status feedback experiences.;HIG Basic, Status Feedback;NC2, NCX;;;;;Proficient;;;;
DES72;DSG-06-029;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design apps that effectively and consistently handle files and instill confidence in the user.;Hig Basic, File handling;;;;;;Progressing;;;;
DES73;DSG-06-030;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design succinct and consistent Near Field Communication NFC experiences.;Hig Basic, Near field communication, NFC;;;;;;;;;;
DES74;DSG-06-031;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design effective and consistent undo and redo implementations.;Hig Basic, Undo and redo;;;;;;Proficient;Progressing;;;
DES75;DSG-06-032;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design consistent, simplified glyph icons and system icons for my apps if I am not using SF Symbols.;Hig Basic, Glyph icons,  system icons;NCX;;;;;Proficient;;Progressing;Progressing;
DES76;DSG-06-033;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design a sense of depth with system-defined materials.;Hig Basic, visual design materials, depth;;;;;;Progressing;Progressing;;;
DES77;DSG-06-034;Design;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;HIG Basic;I can design great experiences playing back video in an app.;Hig Basic, visual design video;;;;;;Progressing;Progressing;;;
DES78;DSG-07-001;Design;Learn to prototype user experiences choosing the appropriate fidelity of prototype.;Prototyping;I can create interactive/tappable prototypes using standard design tools, such as Sketch.;Prototyping, hi-fi prototpypes, ;MC1, MC2, NCX;Core;Progressing;;;Exemplary;Proficient;Proficient;Proficient;Proficient
DES79;DSG-07-002;Design;Learn to prototype user experiences choosing the appropriate fidelity of prototype.;Prototyping;I can create low fidelity paper prototypes and sketches.;Prototyping, low-fi prototypes, ;MC1, MC2, NC2;Core;Progressing;;;Exemplary;;Proficient;Proficient;Proficient
DES80;DSG-07-003;Design;Learn to prototype user experiences choosing the appropriate fidelity of prototype.;Prototyping;I can design informative UI/User Flows.;Prototyping, UI/User Flow, ;MC1, MC2, NC2;Core;Progressing;;;Exemplary;Proficient;Proficient;;Proficient
DES81;DSG-07-004;Design;Learn to prototype user experiences choosing the appropriate fidelity of prototype.;Prototyping;I can create advanced interactive prototypes with animation, transitions and user interactions using standard design tools.;Prototyping, Interactive Prototype, Advanced Design Tools;MC2, NCX;;;;;Exemplary;;Proficient;Proficient;
DES82;DSG-07-005;Design;Learn to prototype user experiences choosing the appropriate fidelity of prototype.;Prototyping;I can design low fidelity wireframes.;Prototyping, Wireframes;MC1, MC2, NC2;Core;Progressing;;;Exemplary;;Proficient;;
DES83;DSG-08-001;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can learn when to apply the methods of Design Thinking: ideate, iterate and refine, and problem definition for an empathetic human-centric design process.;User-Centric Design, Design Thinking, Human-Centric Design, Ideation;MC2, NCX;Core;Progressing;;;Proficient;;Exemplary;;Exemplary
DES84;DSG-08-002;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can evaluate usability, recognise flaws and problems,  and provide recommendations to improve design.;User-Centric Design, Usability;MC2, NCX;Core;Progressing;;;Exemplary;;Exemplary;;Proficient
DES85;DSG-08-003;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can collect user feedback, evaluate, prioritise and present my findings.;User-Centric Design, User Design, User Feedback;MC1, MC2, MC3, NCX;Core;Progressing;;;Exemplary;;Exemplary;;Proficient
DES86;DSG-08-004;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can create authentic and well researched User Personas.;User-Centric Design, User Personas;MC2, NCX;Core;Progressing;;;Exemplary;;Exemplary;;Exemplary
DES87;DSG-08-005;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can conduct user testing sessions in person and remotely.;User-Centric Design, User Testing ;MC2, NCX;Core;Progressing;;;Exemplary;;Exemplary;;Proficient
DES88;DSG-08-006;Design;Learn to apply the process of User-Centered Design to App Development,  supporting effective design choices through user research and user testing.;User Centered Design;I can create User Journey maps.;User-Centric Design, User Journey Maps;MC2, NCX;;;;;Proficient;;Exemplary;;Proficient
TEC001;TCH-01-001;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to manage App Localization using Xcode.;Developer Tools, Localization,, ;MC3;Core;Progressing;Exemplary;;;Exemplary;;;
TEC002;TCH-01-002;Technical;Learn how to work with Developer Tools;Developer Tools;I can display and manage connections to Bluetooth peripherals with PlaygroundBluetooth;Developer Tools, Peripheral Connection, Peripheral Display, bluetooth,;;;;;;;;;;
TEC003;TCH-01-003;Technical;Learn how to work with Developer Tools;Developer Tools;I can create interactive learning experiences for the Swift Playgrounds app with Swift Playground;Developer Tools, Playground Setup,, Annotations, Glossaries, Hints, Subscriptions,;NC1;Core;Progressing;;;;Progressing;;;
TEC004;TCH-01-004;Technical;Learn how to work with Developer Tools;Developer Tools;I can implement App Testing using Xcode;Developer Tools, XCTest, XCTestCase, Test Assertions, UI Tests,;MC, NC2;;;Proficient;;;Beginning;;;
TEC005;TCH-01-005;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to handle App Distribution using Xcode;Developer Tools, TestFlight, App Distribution,, ;MC3, NC2;Core;Progressing;Exemplary;;;Proficient;;Proficient;
TEC006;TCH-01-006;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to manage App Performance using Xcode;Developer Tools, Metrics organizer, Instruments,;NC2;;;Progressing;;;Beginning;;Progressing;
TEC007;TCH-01-007;Technical;Learn how to work with Developer Tools;Developer Tools;I can share playground data,  manage live views,  and control the execution of a playground with Playground Support;Developer Tools, Playground Pages, Live Views, Page-View Communication, Data Persistence, ;NC1;;;;;;;;;
TEC008;TCH-01-008;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to manage App Debugging in Xcode;Developer Tools, Simulator,, App on a Device,;MC3;Core;Progressing;Exemplary;;;Exemplary;;;
TEC009;TCH-01-009;Technical;Learn how to work with Developer Tools;Developer Tools;I can create extensions to add commands to the Xcode source editor with XcodeKit;Developer Tools, First Steps, Editor Commands, Source Text,;;;;Proficient;;;;;;
TEC010;TCH-01-010;Technical;Learn how to work with Developer Tools;Developer Tools;I can control Project Configuration in Xcode;Developer Tools, App Capabilities, Package Dependencies,;MC3;;;Exemplary;;;Exemplary;;Progressing;
TEC011;TCH-01-011;Technical;Learn how to work with Developer Tools;Developer Tools;I can manage Code Sharing in Xcode;Developer Tools, Code Sharing, Swift package,;;;;Exemplary;;;Exemplary;;Exemplary;
TEC012;TCH-01-012;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to create and run unit tests,  performance tests,  and UI tests for my Xcode project with XCTest;Developer Tools, Test Cases and Test Methods, Test Assertions, Asynchronous Tests, UI Tests, Performance Tests, Activities and Attachments, Test Execution, Structures, Classes,;MC;;;Proficient;;;Beginning;;;
TEC013;TCH-01-013;Technical;Learn how to work with Developer Tools;Developer Tools;I can use specialized tools to trace different aspects of my apps,  processes,  and devices over time with Instruments;Developer Tools, CPU and thread, Performance, Memory, Energy I/O, Networking,;;;;Exemplary;;;Progressing;;Progressing;
TEC014;TCH-01-014;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to Create an App Project using Xcode;Developer Tools, App templates, App project,, ;MC1, MC3;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC016;TCH-02-001;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can integrate views into existing apps,  and embed AppKit,  UIKit,  and WatchKit views and controllers into SwiftUI view hierarchies with SwiftUI;Interfaces Development, AppKit Hosting, UIKit Hosting, WatchKit Hosting,;MC3, NCX;;;Proficient;;;Proficient;;;
TEC017;TCH-02-002;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to handle Resource Management with UIKit;Interfaces Development, UIStoryboard, UIStoryboardSegue,, UIImageAsset, UINib,;MC3;Core;Progressing;Proficient;;;Progressing;;;
TEC018;TCH-02-003;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can define the entry point and top-level organization of my app with SwiftUI;Interfaces Development, App, Scene, WindowGroup, DocumentGroup, Settings, Widgets, System Actions,;MC1;;;Proficient;;;Proficient;;;
TEC019;TCH-02-004;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to implement Text Views with UIKit;Interfaces Development, UILabel, UITextField,, UITextView,;MC3;Core;Progressing;Progressing;;;Exemplary;;;
