Code;Strand;Goal Short Name;Objective;Core Rubric Level;UI/UX Path level;Frontend Path;Backend Path;Game Path;PM/Buiness
BUS18;App Business and Marketing;Entrepreneurship;I can describe the main features of a business model.;;Progressing;;;;Progressing
BUS19;App Business and Marketing;Entrepreneurship;I can explain the main features of a value proposition and a unique selling proposition;;Progressing;;;;Proficient
BUS20;App Business and Marketing;Entrepreneurship;I understand the Minimum Viable Product MPV role in developing a business.;;Progressing;;;;Progressing
BUS21;App Business and Marketing;Entrepreneurship;I can describe the key factors leading to the creation and development of a business/start up;;;;;;Progressing
BUS22;App Business and Marketing;Entrepreneurship;I can describe the key factors of an effective market analysis.;;;;;;Progressing
BUS23;App Business and Marketing;Entrepreneurship;I can apply coherent and strategic methods and tools to validate a business  idea;;Progressing;;;;Progressing
BUS24;App Business and Marketing;Entrepreneurship;I can identify the key factors of a competitive analysis;;Progressing;;;Beginning;Progressing
BUS25;App Business and Marketing;Entrepreneurship;I can apply strategic thinking,  tools and practices plan a sustainable and scalable business;;;;;;Progressing
BUS26;App Business and Marketing;Entrepreneurship;I can effectively apply digital marketing tools to promote a business.;;;;;;Progressing
BUS27;App Business and Marketing;Entrepreneurship;I can identify public | private financial incentives to support and carry out business  creation and development;;;;;;Progressing
BUS28;App Business and Marketing;Entrepreneurship;I can explain the key elements of a  Business Plan;;Progressing;;;;Beginner
BUS29;App Business and Marketing;Entrepreneurship;I can create a policy and strategy to attract investors/stakeholders to support the development and success of a business project;;;;;;Beginner
BUS30;App Business and Marketing;Entrepreneurship;I can pitch a business idea/project,  to attract stakeholder support.;;Progressing;;;;Progressing
BUS31;App Business and Marketing;Legal Guidelines;I can describe Apple’s legal requirements when marketing and distributing  apps.;Progressing;;;;;
BUS32;App Business and Marketing;Legal Guidelines;I can properly address privacy concerns when developing apps.;Progressing;;;;;Proficient
BUS33;App Business and Marketing;Legal Guidelines;I can apply the different and most suitable types of intellectual Property Rights licenses to my work.;;;;;;Progressing
BUS34;App Business and Marketing;Legal Guidelines;I can appropriately handle user privacy and  data use in Apps,  and understand how to describe how my app uses data on my App Store Product Page;Progressing;;;;;Proficient
BUS35;App Business and Marketing;Store Guidelines;I can correctly and effectively use App Store badges,  Apple product images,  and Apple identity guidelines to effectively promote my app’s availability.;Progressing;Proficient;;;Proficient;
BUS36;App Business and Marketing;Store Guidelines;I can describe and effectively follow the App Store Review Guidelines to get an app approved;Progressing;;;;Proficient;Proficient
BUS37;App Business and Marketing;Store Guidelines;I can explain the common reasons for app rejections.;;Progressing;;;Proficient;Proficient
BUS38;App Business and Marketing;Store Guidelines;I can effectively use TestFlight Beta Testing to identify and resolve issues with apps before releasing it to the app store.;;;;;Proficient;Proficient
BUS39;App Business and Marketing;Store Presence;I can use ratings,  reviews and responses to reviews to improve app’s discoverability,  encourage downloads,  craft updates,  and build rapport with users.;;Progressing;;;;Progressing
BUS40;App Business and Marketing;Store Presence;I can explain how to optimize Apps for App Store Search;;;;;;Proficient
BUS41;App Business and Marketing;Store Presence;I can apply optimization strategies to help customers find and engage with an app.;;Beginning;;;;Progressing
BUS42;App Business and Marketing;Store Presence;I understand the considerations App Store editors take into account when deciding to “feature” apps in the App Store;;Progressing;;;Beginning;Progressing
BUS43;App Business and Marketing;Store Presence;I can create an effective Product Page that help users discover my app and engage them through thoughtfully crafted metadata.;;Progressing;;;Proficient;Proficient
BUS44;App Business and Marketing;Store Presence;I can create compelling app previews that spark interest and drive downloads of an app using footage captured on device.;;Progressing;;;Progressing;Progressing
BUS45;App Business and Marketing;Store Presence;I can explore and compare categories to choose which best describes my app.;;Progressing;;;Proficient;Proficient
BUS46;App Business and Marketing;Store Presence;I can describe and leverage the discovery features of the app store to effectively market apps.;;;;;;Proficient
BUS47;App Business and Marketing;Store Presence;I can publish an app as a pre-order.;;;;;;Progressing
BUS48;App Business and Marketing;User Engagement;I can use app updates to engage with users;;Progressing;;;;Progressing
BUS49;App Business and Marketing;User Engagement;I can plan,  present,  and promote live events in games to help grow business.;;;;;;Progressing
BUS50;App Business and Marketing;User Engagement;I can prepare an app for a global audience,  and help users around the world discover and download my app;;;;;;Progressing
DES01;Design;Accessibility;| can design dynamic and accessible typographic hierarchy experiences,  effectively audit and test an app for accessibility and provide closed captions and audio descriptions for video content and alternate descriptions and text for all images and infographics in an app.;Progressing;Proficient;;;;
DES02;Design;Accessibility;I can design apps with sufficient contrast ratios and color schemes tested for the different types of color blindness.;Progressing;Proficient;;;Beginning;
DES03;Design;Accessibility;I can design an app: with VoiceOver support for every onscreen element,  with consistent and accessible gestures,  haptics,  buttons and controls,  and with support for Reduce Transparency and Reduce Motion accessibility settings.;Progressing;;;;;
DES04;Design;Branding;I can create and maintain App Store assets previews,  screenshots,  description,  promotional text,  and keywords for my apps.;Progressing;Proficient;;;Proficient;
DES05;Design;Branding;I can conduct visual research to define the visual style of a project.;Progressing;Proficient;;;;
DES06;Design;Branding;I can create a Design System including buttons,  UI elements and other components.;;Exemplary;;;;
DES07;Design;Branding;I can design branding guidelines for a variety of marketing materials.;;Exemplary;;;Beginning;
DES08;Design;Branding;I can create a UI Style Guide including typography scheme and color palette.;;Exemplary;;;;
DES09;Design;Design fundamentals;I can effectively apply the principles of Hierarchy,  Alignment,  White Space and Contrast to visual layouts;Progressing;Proficient;;;;
DES10;Design;Design fundamentals;I can effectively apply color theory and color spaces to create well balanced color palettes;Progressing;Exemplary;;;Progressing;
DES11;Design;Design fundamentals;I can effectively apply the principles of Gestalt theory to design visual layouts;Progressing;Proficient;;;;
DES12;Design;Design fundamentals;I can create and export visual assets in the appropriate format raster resolution,  vector,  and file type according to the project needs and export properly sized images to support all devices.;Progressing;Exemplary;;;Proficient;
DES13;Design;Design fundamentals;I can apply the fundamental principles of design and typography to create clear and usable hierarchy using type: emphasizing important information, and prioritizing content when users change text size.;Progressing;Exemplary;;;;
DES14;Design;Design fundamentals;I can effectively apply color theory principles and color wheel to create color schemes;;Exemplary;;;;
DES15;Design;Design fundamentals;I can demonstrate the difference between Readability and Legibility;;Progressing;;;;
DES16;Design;Game design and art direction;I can describe the design differences between: an app and a game,  and using gamification and creating a game.;Progressing;;;;Exemplary;
DES17;Design;Game design and art direction;I can develop a Creative Direction document with an output of a Scenario Script and Concept Art.;;;;;Progressing;
DES18;Design;Game design and art direction;I can create appropriate game assets such as GUI,  2D Sprites,  3D Models, etc.;;;;;Proficient;
DES19;Design;Game design and art direction;I can produce game design documentation and a project management plan.;;;;;Proficient;
DES20;Design;Game design and art direction;I can generate ideas for games and define the Core Loop of a game mechanic.;;;;;Proficient;
DES21;Design;Game design and art direction;I understand the difference between usability testing and play-testing.;;;;;Exemplary;
DES22;Design;Game design and art direction;I understand how to prototype a game with scripts.;;;;;Proficient;
DES23;Design;Game design and art direction;I understand how to prototype a game off-code.;;;;;Exemplary;
DES24;Design;Game design and art direction;I can design a full level of a game.;;;;;Progressing;
DES25;Design;Game design and art direction;I understand the Pachinko Effect and Game Player Gratification/Addiction.;;;;;Proficient;
DES26;Design;Hig Advanced;I can design an effective custom keyboard to enhance the iOS user experience.;;Progressing;;;;
DES27;Design;Hig Advanced;I can design consistent and effective user experiences with App extensions.;;Progressing;;;;
DES28;Design;Hig Advanced;I can design consistent and thoughtful widgets that give users the ability to see data at a glance from their home,  lock,  and search screens.;;Progressing;;;;
DES29;Design;Hig Advanced;I can design Map experiences that are interactive with annotations that match the visual style of my app.;;Progressing;;;;
DES30;Design;Hig Advanced;I can design apps that use Sign In with Apple for authentication.;;Progressing;;;;
DES31;Design;Hig Advanced;I can design Sign In with Apple experience using the standard buttons positioned and sized correctly on contrasting backgrounds.;;Proficient;;;;
DES32;Design;Hig Advanced;I can design Siri interactions for appropriate domains and intents in my app.;;Progressing;;;;
DES33;Design;Hig Advanced;I can design Siri Shortcut Responses to be natural,  relevant and accurate.;;Progressing;;;;
DES34;Design;Hig Advanced;I can design useful and long-lasting Siri Shortcuts that accelerate common,  useful activities.;;Progressing;;;;
DES35;Design;Hig Advanced;I can design easy to use App Clip experiences that focus on essential features.;;Progressing;;;;
DES36;Design;Hig Advanced;I can design wallet passes that look great and update when information changes.;;Progressing;;;;
DES37;Design;Hig Advanced;I can design consistent and engaging Augmented Reality AR experiences that consider the user’s safety and comfort.;;Progressing;;;;
DES38;Design;Hig Advanced;I understand how to implement an unobtrusive and appropriate request for feedback within an app.;;Progressing;;;Progressing;
DES39;Design;Hig Advanced;I can design apps that consistently support multiple windows when appropriate.;;Progressing;;;;
DES40;Design;Hig Advanced;I can design apps that thrive in multitasking environments.;;Progressing;;;;
DES41;Design;Hig Advanced;I can design great and consistent notification experiences.;;Proficient;;;Progressing;
DES42;Design;Hig Advanced;I can implement QuickView support inside an app where appropriate.;;Progressing;;;;
DES43;Design;Hig Advanced;I can support the native screenshot process,  and alert users when screenshots are taken by another user or on another device when appropriate.;;Progressing;;;;
DES44;Design;Hig Basic;I can design effective system-provided alerts to request personal information;Progressing;Proficient;;;;
DES45;Design;Hig Basic;I can design navigation in a way that supports the structure and purpose of the app without calling attention to itself using standard components and demonstrate knowledge of the three main styles of navigation: hierarchical, flat and content/experience driven.;Progressing;Exemplary;;;;
DES46;Design;Hig Basic;I can design onboarding and launch experiences that are fast,  fun and educational without asking for setup information until it is needed.;Progressing;Proficient;;;Beginning;
DES47;Design;Hig Basic;I know how to request personal data only when my app clearly needs it,  and clearly explain why the information is needed.;Progressing;Exemplary;;;Progressing;
DES48;Design;Hig Basic;I can design consistent,  effective,  and appropriate Bars with proper controls.;Progressing;Exemplary;;;;
DES49;Design;Hig Basic;I can design consistent,  accessible and thoughtful controls where appropriate in my app.;Progressing;Exemplary;;;;
DES50;Design;Hig Basic;I can design user experiences and interfaces that demonstrate a mastery of all the iOS Design Themes and Principles;Progressing;Exemplary;;;;
DES51;Design;Hig Basic;I can design appropriate and consistent authentication experiences.;Progressing;Proficient;;;;
DES52;Design;Hig Basic;I can design effective and efficient data entry experiences with the appropriate keyboard type;Progressing;Proficient;;;Progressing;
DES53;Design;Hig Basic;I can effectively and consistently incorporate gestures.;Progressing;Proficient;;;Proficient;
DES54;Design;Hig Basic;I can effectively and consistently incorporate haptics to enhance user feedback experiences.;Progressing;Proficient;;;Proficient;
DES55;Design;Hig Basic;I can design consistent,  effective  and appropriate views in an app.;Progressing;Exemplary;;;;
DES56;Design;Hig Basic;I can design apps supporting Auto Layout and size classes to support multiple devices and screen sizes.;Progressing;Proficient;;;;
DES57;Design;Hig Basic;I can use refined,  unobtrusive design decisions to incorporate my brand into my app while deferring to content.;Progressing;Exemplary;;;;
DES58;Design;Hig Basic;I can use color and contrast effectively throughout an app to create consistent and clear communication.;Progressing;Exemplary;;;Progressing;
DES59;Design;Hig Basic;I can design and test colors that adapt to Dark Mode with sufficient contrast ratios even when users enable accessibility features.;Progressing;Proficient;;;;
DES60;Design;Hig Basic;I can design consistent and judicious animations to convey context and feedback to users.;Progressing;Proficient;;;Proficient;
DES61;Design;Hig Basic;I can design beautiful and memorable home screen icons for my apps.;Progressing;Exemplary;;;;
DES62;Design;Hig Basic;I can design a launch screen that gives the impression that my app is fast and responsive.;Progressing;Proficient;;;;
DES63;Design;Hig Basic;I can effectively use familiar and informal terminology inside an app to help users feel comfortable.;Progressing;Proficient;;;;
DES64;Design;Hig Basic;I can use visual weight,  balance and alignment to convey hierarchy,  communicate importance and facilitate easily tappable content.;Progressing;Exemplary;;;;
DES65;Design;Hig Basic;I can appropriately use modality to focus people’s attention on making a choice or performing a task that is different from their current task.;Progressing;Proficient;;;;
DES66;Design;Hig Basic;I can design apps with clear and informative loading experiences when necessary;;Progressing;;;;
DES67;Design;Hig Basic;I can design effective processes for adjusting settings where appropriate.;;Progressing;;;Progressing;
DES68;Design;Hig Basic;I can design experiences that effectively use Apple Pencil.;;;;;;
DES69;Design;Hig Basic;I can design great and appropriate audio experiences.;;Progressing;;;Progressing;
DES70;Design;Hig Basic;I can design effective and consistent drag and drop features.;;Progressing;;;;
DES71;Design;Hig Basic;I can design unobtrusive status feedback experiences.;;Progressing;;;;
DES72;Design;Hig Basic;I can design apps that effectively and consistently handle files and instill confidence in the user.;;Progressing;;;;
DES73;Design;Hig Basic;I can design succinct and consistent Near Field Communication NFC experiences.;;;;;;
DES74;Design;Hig Basic;I can design effective and consistent undo and redo implementations.;;Progressing;;;;
DES75;Design;Hig Basic;I can design consistent,  simplified glyph icons and system icons for my apps if I am not using SF Symbols.;;Exemplary;;;Progressing;
DES76;Design;Hig Basic;I can design a sense of depth with system-defined materials.;;Progressing;;;;
DES77;Design;Hig Basic;I can design great experiences playing back video in an app.;;Progressing;;;;
DES78;Design;Prototyping;I can create interactive/tappable prototypes using standard design tools, such as Sketch.;Progressing;Exemplary;;;Proficient;
DES79;Design;Prototyping;I can create low fidelity paper prototypes and sketches.;Progressing;Exemplary;;;Proficient;
DES80;Design;Prototyping;I can design informative UI/User Flows;Progressing;Exemplary;;;;
DES81;Design;Prototyping;I can create advanced interactive prototypes with animation,  transitions and user interactions using standard design tools;;Proficient;;;Proficient;
DES82;Design;Prototyping;I can design low fidelity wireframes;;Exemplary;;;;
DES83;Design;User Centered Design;"I can learn when to apply the methods of Design Thinking: ideate,  iterate and refine, and problem definition for an empathetic human-centric design process";Progressing;Proficient;;;;
DES84;Design;User Centered Design;I can evaluate usability,  recognize flaws and problems,  and provide recommendations to improve design;Progressing;Proficient;;;;
DES85;Design;User Centered Design;I can collect user feedback,  evaluate,  prioritize and present my findings;Progressing;Exemplary;;;;
DES86;Design;User Centered Design;I can create authentic and well researched User Personas;Progressing;Proficient;;;;
DES87;Design;User Centered Design;I can conduct user testing sessions in person and remotely;Progressing;Exemplary;;;;
DES88;Design;User Centered Design;I can create User Journey maps;;Progressing;;;;
PROC01;Process;Engage;I can identify Big Ideas that are personally meaningful and may have local and/or global significance;Progressing;Proficient;;;;
PROC02;Process;Engage;I can use essential questioning to derive a specific,  clear and meaningful essential question from a Big Idea;Progressing;Proficient;;;;
PROC03;Process;Engage;I can construct an appropriate,  compelling,  and actionable challenge from an essential question.;Progressing;Proficient;;;;
PROC04;Process;Investigate;I can develop effective Guiding Questions that include multiple perspectives.;Progressing;Proficient;;;;
PROC05;Process;Investigate;I can effectively  categorize and prioritize Guiding Questions;Progressing;Proficient;;;;
PROC06;Process;Investigate;I can identify and create appropriate guiding resources and activities to effectively answer the Guiding Questions.;Progressing;Proficient;;;;
PROC07;Process;Investigate;I can effectively summarize what was learned from answering the specific Guiding Questions.;Progressing;;;;;
PROC08;Process;Investigate;I can create and present a clear,  and accurate synthesis that articulates what was learned through the Investigation.;Progressing;Proficient;;;;
PROC09;Process;Investigate;I can identify or develop solutions that are supported by the findings in the Investigation synthesis.;Progressing;Proficient;;;;
PROC10;Process;Investigate;I can create an effective research plan to Investigate the guiding questions.;Progressing;;;;;
PROC11;Process;Investigate;I can conduct effective field research.;Progressing;Proficient;;;;
PROC12;Process;Investigate;I can conduct effective and accurate web research.;Progressing;;;;;
PROC13;Process;Investigate;I can conduct effective interviews with stakeholders.;Progressing;;;;;
PROC14;Process;Investigate;I can develop clear and effective surveys and effectively analyze the results.;Progressing;Proficient;;;;
PROC15;Process;Investigate;I can successfully move from a solution statement to a description of an app that will help solve the challenge.;Progressing;Proficient;;;;
PROC16;Process;Investigate;I can use my solution statement and domain investigation results to develop applicable app requirements and a prototype.;Progressing;Proficient;;;;
PROC17;Process;Investigate;I can deconstruct a prototype to develop a learning and develop backlog.;Progressing;Proficient;;;;
PROC18;Process;Investigate;I understand the basic concepts of project management to effectively guide a project, Identify milestones and effectively monitor and adjust a project’s progression;Progressing;Proficient;;;;
PROC19;Process;Act;I can use TestFlight and the App Store to get feedback on their solutions.;Progressing;;;;;
PROC20;Process;Act;I can use data collected from users to determine if the solution effectively solved the challenge.;Progressing;Proficient;;;;
PROC21;Process;Act;I can use the feedback and data from users to improve the solution.;Progressing;Proficient;;;;
PROC22;Process;Ongoing Activities;I reflect on a regular basis and use the results to become a better learner and developer.;Progressing;Proficient;;;;
PROC23;Process;Ongoing Activities;I document my work and use it for continuous improvement.;Progressing;Proficient;;;;
PROC24;Process;Ongoing Activities;I can assess my personal learning and progress  and use the information to plan future learning.;Progressing;Proficient;;;;
PROC25;Process;Project Management;"I can state and understand the key concepts and principles of project management";Progressing;;;;;
PROC26;Process;Project Management;I can initiate a project and establish a project organization;;;;;;
PROC27;Process;Project Management;I can define measurable project objectives.;;;;;;
PROC28;Process;Project Management;I can work with a Project Sponsor on a scope of work to deliver.;;;;;;
PROC29;Process;Project Management;"I can create the project schedule and assign resources for effective implementation";;;;;;
PROC30;Process;Project Management;I can anticipate project and product risks and plan appropriate responses;;;;;;
PROC31;Process;Project Management;I can apply techniques for monitoring progress and controlling the schedule;;;;;;
PROC32;Process;Project Management;I can close down the project effectively and positively.;;;;;;
PROC33;Process;Scrum;I can describe Scrum,  the five core values and the alignment with Agile.;;;;;;
PROC34;Process;Scrum;I can explain the Scrum roles and how they interact during a Sprint.;;;;;;
PROC35;Process;Scrum;I can explain the purpose,  importance and process of the five events within Scrum;;;;;;
PROC36;Process;Scrum;I can define,  and describe the purpose of,  artifacts within Scrum.;;;;;;
PROC37;Process;Scrum;I can explain the importance of Product Backlog Refinement and potential outcomes.;;;;;;
PROF01;Professional Skills;Collaboration;I can demonstrate the ability to work effectively and respectfully with diverse teams in different team roles.;Progressing;Proficient;;;;
PROF02;Professional Skills;Collaboration;I can facilitate team alignment,  and manage conflicts effectively.;Progressing;;;;;
PROF03;Professional Skills;Collaboration;I assume shared responsibility for collaborative work,  exercise flexibility to make compromises to achieve team goals,  and value the individual contributions made by each team member.;Progressing;;;;;
PROF04;Professional Skills;Collaboration;I have learned to build empathy for others,  including teammates and users;Progressing;Proficient;;;;
PROF05;Professional Skills;Collaboration;I can praise/cheer my peers accomplishments as they do for mine.;Progressing;;;;;
PROF06;Professional Skills;Collaboration;I can notice when one of my peers need help and I talk to them and offer help.;Progressing;;;;;
PROF07;Professional Skills;Collaboration;I can give constructive feedback to my peers,  mentors and teammates.;Progressing;Proficient;;;;
PROF08;Professional Skills;Communication;I can effectively articulate thoughts and ideas using speaking skills in a variety of forms and contexts;Progressing;Proficient;;;;
PROF09;Professional Skills;Communication;I can perform Active Listening,  know when it is appropriate to listen and when to speak.;Progressing;Proficient;;;;
PROF10;Professional Skills;Storytelling;I can describe the universal elements of a story and create a story board.;Progressing;Proficient;;;;
PROF11;Professional Skills;Storytelling;I can create a story that elicits an emotional response.;Progressing;Proficient;;;;
PROF12;Professional Skills;Storytelling;I can demonstrate the meaningful use of imagery,  audio,  and video to create stories.;;Proficient;;;;
PROF13;Professional Skills;Storytelling;I can develop brands by creating appealing stories through many different media and contexts.;;Proficient;;;;
PROF14;Professional Skills;Presentations;I can create clear and appropriate presentations for particular audiences and contexts.;Progressing;Exemplary;;;;
PROF15;Professional Skills;Presentations;I can use appropriate body language and tone of voice when presenting;Progressing;;;;;
PROF16;Professional Skills;Presentations;I can appropriately receive and handle  critical feedback and questions during presentations;Progressing;;;;;
PROF17;Professional Skills;Presentations;I can present all projects in challenge review,  regardless of whether the project is finished or in a working state.;Progressing;Proficient;;;;
PROF18;Professional Skills; Creative Workflow;I can use a wide range of idea creation techniques to invigorate creativity,  imagination,  and innovative thinking.;;Proficient;;;;
PROF19;Professional Skills; Creative Workflow;I can adapt perceived failure or limitation into an opportunity to succeed through creative and innovative thinking,  iteration,  testing and feedback.;Progressing;Proficient;;;;
PROF20;Professional Skills;Employability;I can set and manage personal goals according to resources available;Progressing;;;;;
PROF21;Professional Skills;Employability;I can manage my own time in order to accomplish the goals that I have for the day.;Progressing;Proficient;;;;
PROF22;Professional Skills;Employability;I can demonstrate originality and inventiveness while understanding the real world limits to adopt new ideas;Progressing;Proficient;;;;
PROF23;Professional Skills;Employability;I can create an effective Visual Portfolio using different formats and platforms to showcase my best projects.;Progressing;Exemplary;;;;
PROF24;Professional Skills;Employability;I can create an effective Curriculum Vitae using different formats and platforms,  according to the professional objective and local standards.;Progressing;Proficient;;;;
PROF25;Professional Skills;Employability;I can develop a network of professional contacts.;Progressing;;;;;
PROF26;Professional Skills;Personal Growth;I can evaluate self-weaknesses,  strengths,  opportunities,  threats,  abilities,  capabilities and attitudes.;Progressing;Proficient;;;;
PROF27;Professional Skills;Personal Growth;I can understand,  negotiate and balance diverse views and beliefs to reach workable solutions in diverse environments.;Progressing;Proficient;;;;
PROF28;Professional Skills;Personal Growth;I have learned to listen and evaluate formal and informal feedback or critique and respond or act appropriately.;Progressing;Proficient;;;;
PROF29;Professional Skills;Personal Growth;I stay curious about new things and keep looking for new challenges inside the projects that I’m in.;Progressing;Proficient;;;;
TEC001;Technical;Developer Tools;I know how to manage App Localization using Xcode.;Progressing;;Proficient;Exemplary;;
TEC002;Technical;Developer Tools;I can display and manage connections to Bluetooth peripherals with PlaygroundBluetooth;;;-;-;;
TEC003;Technical;Developer Tools;I can create interactive learning experiences for the Swift Playgrounds app with Swift Playground;Progressing;;-;-;;
TEC004;Technical;Developer Tools;I can implement App Testing using Xcode;;;Beginning;Proficient;;
TEC005;Technical;Developer Tools;I know how to handle App Distribution using Xcode;Progressing;;Proficient;Exemplary;;
TEC006;Technical;Developer Tools;I know how to manage App Performance using Xcode;;;Beginning;Progressing;;
TEC007;Technical;Developer Tools;I can share playground data,  manage live views,  and control the execution of a playground with Playground Support;;;-;-;;
TEC008;Technical;Developer Tools;I know how to manage App Debugging in Xcode;Progressing;;Proficient;Proficient;;
TEC009;Technical;Developer Tools;I can create extensions to add commands to the Xcode source editor with XcodeKit;;;-;Proficient;;
TEC010;Technical;Developer Tools;I can control Project Configuration in Xcode;;;Progressing;Proficient;;
TEC011;Technical;Developer Tools;I can manage Code Sharing in Xcode;;;Beginning;Proficient;;
TEC012;Technical;Developer Tools;I know how to create and run unit tests,  performance tests,  and UI tests for my Xcode project with XCTest;;;Beginning;Proficient;;
TEC013;Technical;Developer Tools;I can use specialized tools to trace different aspects of my apps,  processes,  and devices over time with Instruments;;;Beginning;Progressing;;
TEC014;Technical;Developer Tools;I know how to Create an App Project using Xcode;Progressing;;Proficient;Proficient;;
TEC015;Technical;Developer Tools;I can evaluate privacy, security and performance risks involved when using third-party components (resources) like external libraries, frameworks, source code and tools.;;;Proficient;Proficient;;
TEC016;Technical;Interfaces Development;I can integrate views into existing apps,  and embed AppKit,  UIKit,  and WatchKit views and controllers into SwiftUI view hierarchies with SwiftUI;Progressing;;Proficient;Proficient;;
TEC017;Technical;Interfaces Development;I know how to handle Resource Management with UIKit;;;Beginning;Proficient;;
TEC018;Technical;Interfaces Development;I can define the entry point and top-level organization of my app with SwiftUI;Progressing;;Proficient;Proficient;;
TEC019;Technical;Interfaces Development;I know how to implement Text Views with UIKit;Progressing;;Exemplary;Progressing;;
TEC020;Technical;Interfaces Development;I know how to combine views in stacks,  generate groups and lists of views dynamically,  and define view presentations and hierarchy with SwiftUI;Progressing;;Exemplary;Exemplary;;
TEC021;Technical;Interfaces Development;I know how to control and respond to the flow of data and changes within my app’s models with SwiftUI;;;-;Proficient;;
TEC022;Technical;Interfaces Development;I can work with Documents,  Data,  and Pasteboard with UIKit;;;Beginning;-;;
TEC023;Technical;Interfaces Development;I know how to handle Animation and Haptics with UIKit;;;Beginning;Proficient;;
TEC024;Technical;Interfaces Development;I know how to use Windows and Screens with UIKit;Progressing;;Progressing;Progressing;;
TEC025;Technical;Interfaces Development;I know how to handle View Fundamentals with UIKit;Progressing;;Beginning;Progressing;;
TEC026;Technical;Interfaces Development;I can work with View Layout with UIKit;Progressing;;Proficient;-;;
TEC027;Technical;Interfaces Development;I can enhance my views with colors,  shapes,  and shadows,  and customize animated transitions between view states with SwiftUI;;;Progressing;-;;
TEC028;Technical;Interfaces Development;I can generate dynamic,  interactive previews of my custom views with SwiftUI;Progressing;;Proficient;-;;
TEC029;Technical;Interfaces Development;I can present content onscreen and handle user interactions with SwiftUI;Progressing;;Progressing;-;;
TEC030;Technical;Interfaces Development;I know how to manage Content View Controllers with UIKit;;;Progressing;-;;
TEC031;Technical;Interfaces Development;I can use Visual Effect classes with UIKit;;;-;-;;
TEC032;Technical;Interfaces Development;I can perform lightweight 2D rendering with high-fidelity output with Core Graphics;;;Progressing;Progressing;;
TEC033;Technical;Interfaces Development;I can apply Images and Video with UIKit;;;Beginning;Progressing;;
TEC034;Technical;Interfaces Development;I can manage Fonts with UIKit;;;Progressing;Progressing;;
TEC035;Technical;Interfaces Development;I can manage Appearance Customization with UIKit;;;-;Progressing;;
TEC036;Technical;Interfaces Development;I know how to manage Interface Restoration with UIKit;;;Progressing;Proficient;;
TEC037;Technical;Interfaces Development;I know how to use Search Fields with UIKit;;;Beginning;Progressing;;
TEC038;Technical;Interfaces Development;I know how to use Activities Interface with UIKit;;;Beginning;Proficient;;
TEC039;Technical;Interfaces Development;I know how to implement Inter-Process Communication with UIKit;;;-;-;;
TEC040;Technical;Interfaces Development;I can implement Color Picker with UIKit;;;Progressing;-;;
TEC041;Technical;Interfaces Development;I know how to handle User Interactions with UIKit;Progressing;;Beginning;-;;
TEC042;Technical;Interfaces Development;I can use Content Views with UIKit;Progressing;;Proficient;Proficient;;
TEC043;Technical;Interfaces Development;I can manage App and Environment with UIKit;Progressing;;Proficient;Proficient;;
TEC044;Technical;Interfaces Development;I can implement Controls with UIKit;Progressing;;Proficient;Proficient;;
TEC045;Technical;Interfaces Development;I know how to handle Interface Orientation with UIKit;;;Proficient;Proficient;;
