Code;Strand;Goal Short Name;Goal;Objective;Core Keywords;Elective Keywords;Core Rubric Level;UI/UX;Frontend;Backend;Game Design;Game Development;Business/Entrepreneurship;Project/Product Manager
BUS24;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can identify the key factors of a competitive analysis;;Competitive analysis;;Progressing;0;0;Proficient;Beginning;Exemplary;Progressing
BUS25;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can apply strategic thinking, tools and practices plan a sustainable and scalable business;;Strategic mindset;;Beginning;0;0;Progressing;0;Proficient;Progressing
BUS26;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can effectively apply digital marketing tools to promote a business.;;Digital Marketing;;0;0;0;Progressing;0;Progressing;Progressing
BUS27;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can identify public I private financial incentives to support and carry out business creation and development;;Finance;;0;0;0;Progressing;0;Proficient;Progressing
BUS28;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can explain the key elements of a Business Plan;;Business Plan;;Progressing;0;0;Proficient;0;Proficient;Beginner
BUS29;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can create a policy and strategy to attract investors/stakeholders to support the development and success of a business project;;Investors;;0;0;0;Proficient;0;Proficient;Beginner
BUS30;App Business and Marketing;Entrepreneurship;Learn about entrepreneurship and social entrepreneurship opportunities for app business and marketing.;I can pitch a business idea/project, to attract stakeholder support.;;Pitches;;Proficient;0;0;Exemplary;0;Proficient;Progressing
BUS31;App Business and Marketing;Legal Guidelines;Learn about basic legal issues surrounding the development, marketing and distribution of apps.;I can describe Apple’s legal requirements when marketing and distributing apps.;Legal, Apple requirements;;Progressing;Progressing;0;0;0;0;Proficient;0
BUS32;App Business and Marketing;Legal Guidelines;Learn about basic legal issues surrounding the development, marketing and distribution of apps.;I can properly address privacy concerns when developing apps.;Legal, Privacy concerns;;Progressing;Beginning;0;0;0;0;Proficient;Proficient
BUS33;App Business and Marketing;Legal Guidelines;Learn about basic legal issues surrounding the development, marketing and distribution of apps.;I can apply the different and most suitable types of intellectual Property Rights licenses to my work.;;Legal Intellectual, property;;Proficient;0;0;Proficient;0;Exemplary;Progressing
BUS34;App Business and Marketing;Legal Guidelines;Learn about basic legal issues surrounding the development, marketing and distribution of apps.;I can appropriately handle user privacy and data use in Apps, and understand how to describe how my app uses data on my App Store Product Page;legal, user data, privacy, data use;;Progressing;Progressing;0;0;Proficient;0;Exemplary;Proficient
BUS35;App Business and Marketing;Store Guidelines;Learn how to correctly follow App Store Guidelines.;I can correctly and effectively use App Store badges, Apple product images, and Apple identity guidelines to effectively promote my app’s availability.;app store guidelines, identity guidelines, badges, produce images;;Progressing;Proficient;0;0;Proficient;Proficient;Proficient;0
BUS36;App Business and Marketing;Store Guidelines;Learn how to correctly follow App Store Guidelines.;I can describe and effectively follow the App Store Review Guidelines to get an app approved;app store guidelines, App store review;;Progressing;0;0;0;Proficient;Proficient;Exemplary;Proficient
BUS37;App Business and Marketing;Store Guidelines;Learn how to correctly follow App Store Guidelines.;I can explain the common reasons for app rejections.;;app store guidelines, app rejection;;Progressing;0;0;Proficient;Proficient;Proficient;Proficient
BUS38;App Business and Marketing;Store Guidelines;Learn how to correctly follow App Store Guidelines.;I can effectively use TestFlight Beta Testing to identify and resolve issues with apps before releasing it to the app store.;;;;Proficient;0;0;Proficient;Proficient;Proficient;Proficient
BUS39;App Business and Marketing;Store Presence;Learn how to craft an effective presence in the app store.;I can use ratings, reviews and responses to reviews to improve app’s discoverability, encourage downloads, craft updates, and build rapport with users.;;Product Page and Discovery, app ratings;;Progressing;0;0;0;0;Proficient;Progressing
BUS40;App Business and Marketing;Store Presence;Learn how to craft an effective presence in the app store.;I can explain how to optimize Apps for App Store Search;;Product Page and Discovery, Search optimization;;0;0;0;0;0;Proficient;Proficient
BUS41;App Business and Marketing;Store Presence;Learn how to craft an effective presence in the app store.;I can apply optimization strategies to help customers find and engage with an app.;;Product Page and Discovery, Search optimization strategies;;Beginning;0;0;0;0;Exemplary;Progressing
BUS42;App Business and Marketing;Store Presence;Learn how to craft an effective presence in the app store.;I understand the considerations App Store editors take into account when deciding to “feature” apps in the App Store;;Product Page and Discovery, Getting Featured;;Progressing;0;0;Beginning;Beginning;Progressing;Progressing
BUS43;App Business and Marketing;Store Presence;Learn how to craft an effective presence in the app store.;I can create an effective Product Page that help users discover my app and engage them through thoughtfully crafted metadata.;;Product Page and Discovery, Product page, metadata;;Proficient;0;0;Proficient;Proficient;Exemplary;Proficient
BUS44;App Business and Marketing;Store Presence;Learn how to craft an effective presence in the app store.;I can create compelling app previews that spark interest and drive downloads of an app using footage captured on device.;;Product Page and Discovery, previews;;Exemplary;0;0;Progressing;Progressing;Proficient;Progressing
BUS45;App Business and Marketing;Store Presence;Learn how to craft an effective presence in the app store.;I can explore and compare categories to choose which best describes my app.;;Product Page and Discovery, categories;;Progressing;0;0;Proficient;Proficient;Exemplary;Proficient
BUS46;App Business and Marketing;Store Presence;Learn how to craft an effective presence in the app store.;I can describe and leverage the discovery features of the app store to effectively market apps.;;Product Page and Discovery features;;0;0;0;0;0;Exemplary;Proficient
BUS47;App Business and Marketing;Store Presence;Learn how to craft an effective presence in the app store.;I can publish an app as a pre-order.;;Product Page and Discovery, app pre-order;;0;0;0;0;0;Proficient;Progressing
BUS48;App Business and Marketing;User Engagement;Learn about how they keep their apps relevant, attract new users and retain existing users after the launch.;I can use app updates to engage with users;;User engagement, app updates;;Progressing;0;0;0;0;Proficient;Progressing
BUS49;App Business and Marketing;User Engagement;Learn about how they keep their apps relevant, attract new users and retain existing users after the launch.;I can plan, present, and promote live events in games to help grow business.;;User engagement, live events;;0;0;0;0;0;Progressing;Progressing
BUS50;App Business and Marketing;User Engagement;Learn about how they keep their apps relevant, attract new users and retain existing users after the launch.;I can prepare an app for a global audience, and help users around the world discover and download my app;;User engagement, Localization, global audience;;Progressing;0;0;0;0;Progressing;Progressing
DES01;Design;Accessibility;Learn to design with accessibility in mind for all users.;I can design dynamic and accessible typographic hierarchy experiences, effectively audit and test an app for accessibility and provide closed captions and audio descriptions for video content and alternate descriptions and text for all images and infographics in an app. ;Accessibility, Typography, Accessibility type, Dynamic type, Audit, Closed caption, alternate descriptions;;Progressing;Proficient;Exemplary;0;0;0;0;0
DES02;Design;Accessibility;Learn to design with accessibility in mind for all users.;I can design apps with sufficient contrast ratios and color schemes tested for the different types of color blindness.;contrast ratios, color schemes, color blindness;;Progressing;Proficient;Exemplary;0;Beginning;Beginning;0;0
DES03;Design;Accessibility;Learn to design with accessibility in mind for all users.;I can design an app: with VoiceOver support for every onscreen element, with consistent and accessible gestures, haptics, buttons and controls, and with support for Reduce Transparency and Reduce Motion accessibility settings.;Design VoiceOver, Controls, Reduce transparency;;Progressing;Progressing;Proficient;0;0;0;0;0
DES04;Design;Branding;Learn to design brand identity and marketing materials for apps.;I can create and maintain App Store assets previews, screenshots, description, promotional text, and keywords for my apps.;assets, previews, screenshots, description, promotional text, keywords, App Store;;Progressing;Proficient;0;0;Proficient;Proficient;0;0
DES05;Design;Branding;Learn to design brand identity and marketing materials for apps.;I can conduct visual research to define the visual style of a project.;visual research, style;;Progressing;Proficient;0;0;0;0;0;0
DES06;Design;Branding;Learn to design brand identity and marketing materials for apps.;I can create a Design System including buttons, UI elements and other components.;;design system buttons, design system UI elements;;Exemplary;0;0;0;0;0;0
DES07;Design;Branding;Learn to design brand identity and marketing materials for apps.;I can design branding guidelines for a variety of marketing materials.;;Marketing materials, branding, guidelines;;Exemplary;0;0;Beginning;Beginning;0;0
DES08;Design;Branding;Learn to design brand identity and marketing materials for apps.;I can create a UI Style Guide including typography scheme and color palette.;;UI Style Guide;;Exemplary;0;0;0;0;0;0
DES09;Design;Design fundamentals;Learn to apply the fundamental elements of Visual and Communication design to App Development.;I can effectively apply the principles of Hierarchy, Alignment, White Space and Contrast to visual layouts ;Hierarchy, White space, contrast, alignment;;Progressing;Exemplary;0;0;0;0;0;0
DES10;Design;Design fundamentals;Learn to apply the fundamental elements of Visual and Communication design to App Development.;I can effectively apply color theory and color spaces to create well balanced color palettes;color theory, color spaces, color palettes;;Progressing;Exemplary;0;0;Progressing;Progressing;0;0
DES11;Design;Design fundamentals;Learn to apply the fundamental elements of Visual and Communication design to App Development.;I can effectively apply the principles of Gestalt theory to design visual layouts;gestalt theory, visual layouts;;Progressing;Exemplary;0;0;0;0;0;0
DES12;Design;Design fundamentals;Learn to apply the fundamental elements of Visual and Communication design to App Development.;I can create and export visual assets in the appropriate format raster resolution, vector, and file type according to the project needs and export properly sized images to support all devices.;Image formats, file type, raster, vector, resolution, image size;;Progressing;Exemplary;0;0;Proficient;Proficient;0;0
DES13;Design;Design fundamentals;Learn to apply the fundamental elements of Visual and Communication design to App Development.;I can apply the fundamental principles of design and typography to create clear and usable hierarchy using type: emphasizing important information, and prioritizing content when users change text size.;Typography, typographical hierarchy, usability, prioritizing content, dynamic type, accessibility type;;Progressing;Exemplary;0;0;0;0;0;0
DES14;Design;Design fundamentals;Learn to apply the fundamental elements of Visual and Communication design to App Development.;I can effectively apply color theory principles and color wheel to create color schemes;;color theory, color wheel, color schemes;;Exemplary;0;0;0;0;0;0
DES15;Design;Design fundamentals;Learn to apply the fundamental elements of Visual and Communication design to App Development.;I can demonstrate the difference between Readability and Legibility;;readability, legibility;;Proficient;0;0;0;0;0;0
DES16;Design;Game design and art direction;Learn and apply the principles of Game Design and Game Art Direction;I can describe the design differences between: an app and a game, and using gamification and creating a game.;game, gamification;;Progressing;Proficient;0;0;Exemplary;Exemplary;0;0
DES17;Design;Game design and art direction;Learn and apply the principles of Game Design and Game Art Direction;I can develop a Creative Direction document with an output of a Scenario Script and Concept Art.;;creative direction document, scenario script, ;;0;0;0;Exemplary;Progressing;0;0
DES18;Design;Game design and art direction;Learn and apply the principles of Game Design and Game Art Direction;I can create appropriate game assets such as GUI, 2D Sprites, 3D Models, etc.;;game assets, GUI, 2D Sprites, 3D Models;;0;0;0;Exemplary;Proficient;0;0
DES19;Design;Game design and art direction;Learn and apply the principles of Game Design and Game Art Direction;I can produce game design documentation and a project management plan.;;gdd, game management plan;;0;0;0;Exemplary;Proficient;0;0
DES20;Design;Game design and art direction;Learn and apply the principles of Game Design and Game Art Direction;I can generate ideas for games and define the Core Loop of a game mechanic.;;game mechanics, core loop;;0;0;0;Exemplary;Proficient;0;0
DES21;Design;Game design and art direction;Learn and apply the principles of Game Design and Game Art Direction;I understand the difference between usability testing and play-testing.;;game usability testing, play testing;;0;0;0;Exemplary;Exemplary;0;0
DES22;Design;Game design and art direction;Learn and apply the principles of Game Design and Game Art Direction;I understand how to prototype a game with scripts.;;game prototype, game scripts;;0;0;0;Exemplary;Proficient;0;0
DES23;Design;Game design and art direction;Learn and apply the principles of Game Design and Game Art Direction;I understand how to prototype a game off-code.;;game lo-fi prototype;;0;0;0;Exemplary;Exemplary;0;0
DES24;Design;Game design and art direction;Learn and apply the principles of Game Design and Game Art Direction;I can design a full level of a game.;;game levels;;0;0;0;Exemplary;Progressing;0;0
DES25;Design;Game design and art direction;Learn and apply the principles of Game Design and Game Art Direction;I understand the Pachinko Effect and Game Player Gratification/Addiction.;;player gratification/addiction;;0;0;0;Exemplary;Proficient;0;0
DES26;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design an effective custom keyboard to enhance the iOS user experience.;;custom keyboard design;;Progressing;0;0;0;0;0;0
DES27;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design consistent and effective user experiences with App extensions.;;Document provider, Home screen quick action, Input View, Messages, Photo Editing, Sharing, Sticker Pack;;Progressing;Progressing;0;0;0;0;0
DES28;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design consistent and thoughtful widgets that give users the ability to see data at a glance from their home, lock, and search screens.;;data at a glance, widget;;Progressing;Progressing;0;0;0;0;0
DES29;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design Map experiences that are interactive with annotations that match the visual style of my app.;;map experience, map styles, map annotations;;Progressing;Exemplary;0;0;0;0;0
DES30;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design apps that use Sign In with Apple for authentication.;;authentication, sign in with apple;;Progressing;Progressing;0;0;0;0;0
DES31;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design Sign In with Apple experience using the standard buttons positioned and sized correctly on contrasting backgrounds.;;sign in with apple button;;Proficient;Progressing;0;0;0;0;0
DES32;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design Siri interactions for appropriate domains and intents in my app.;;siri interactions;;Progressing;Progressing;0;0;0;0;0
DES33;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design Siri Shortcut Responses to be natural, relevant and accurate.;;siri shortcut responses,;;Progressing;0;0;0;0;0;0
DES34;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design useful and long-lasting Siri Shortcuts that accelerate common, useful activities.;;siri shortcuts;;Progressing;0;0;0;0;0;0
DES35;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design easy to use App Clip experiences that focus on essential features.;;app clips;;Progressing;Progressing;0;0;0;0;0
DES36;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design wallet passes that look great and update when information changes.;;wallet passes, wallet;;Progressing;0;0;0;0;0;0
DES37;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design consistent and engaging Augmented Reality AR experiences that consider the user’s safety and comfort.;;augmented reality experiences, AR, AR comfort, AR safety;;Progressing;Progressing;0;0;0;0;0
DES38;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I understand how to implement an unobtrusive and appropriate request for feedback within an app.;;feedback request;;Proficient;0;0;Progressing;Progressing;0;0
DES39;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design apps that consistently support multiple windows when appropriate.;;multiple windows;;Progressing;Proficient;0;0;0;0;0
DES40;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design apps that thrive in multitasking environments.;;multitasking;;Progressing;Proficient;0;0;0;0;0
DES41;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can design great and consistent notification experiences.;;notification experiences;;Exemplary;Exemplary;0;Progressing;Progressing;0;0
DES42;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can implement QuickView support inside an app where appropriate.;;quickView ;;Progressing;0;0;0;0;0;0
DES43;Design;Hig Advanced;Learn to create apps adhering to advanced platform standards, technologies, and system capabilities using the Human Interface Guidelines;I can support the native screenshot process, and alert users when screenshots are taken by another user or on another device when appropriate.;;screenshot process;;Progressing;0;0;0;0;0;0
DES44;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design effective system-provided alerts to request personal information;system-provided alerts;;Progressing;Proficient;Exemplary;0;0;0;0;0
DES45;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design navigation in a way that supports the structure and purpose of the app without calling attention to itself using standard components and demonstrate knowledge of the three main styles of navigation: hierarchical, flat and content/experience driven.;hierarchical navigation, flat navigation, content/experience driven navigation.;;Progressing;Exemplary;Exemplary;0;0;0;0;0
DES46;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design onboarding and launch experiences that are fast, fun and educational without asking for setup information until it is needed.;Onboarding, launch;;Progressing;Exemplary;Proficient;0;0;Beginning;0;0
DES47;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I know how to request personal data only when my app clearly needs it, and clearly explain why the information is needed.;Personal data requests;;Progressing;Exemplary;Exemplary;0;0;Progressing;0;0
DES48;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design consistent, effective, and appropriate Bars with proper controls.;Design nav bar, status bar, tab bar, search bar, toolbar;;Progressing;Exemplary;Exemplary;0;0;0;0;0
DES49;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design consistent, accessible and thoughtful controls where appropriate in my app.;segmented control, picker, button, slider, text field, context menu, edit menu, page control, progess indicator, stepper, switch;;Progressing;Exemplary;Exemplary;0;0;0;0;0
DES50;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design user experiences and interfaces that demonstrate a mastery of all the iOS Design Themes and Principles;Aesthetic Integrity, Clarity, Consistency, Deference, Depth, Direct Manipulation, Feedback;;Progressing;Exemplary;0;0;0;0;0;0
DES51;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design appropriate and consistent authentication experiences.;Authentication;;Progressing;Exemplary;0;0;0;0;0;0
DES52;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design effective and efficient data entry experiences with the appropriate keyboard type ;Efficient Data entry, keyboard type;;Progressing;Proficient;Proficient;0;Progressing;Progressing;0;0
DES53;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can effectively and consistently incorporate gestures.;Gestures;;Progressing;Proficient;Proficient;0;Proficient;Proficient;0;0
DES54;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can effectively and consistently incorporate haptics to enhance user feedback experiences.;Haptic feedback;;Progressing;Proficient;Proficient;0;Proficient;Proficient;0;0
DES55;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design consistent, effective and appropriate views in an app.;Design action sheet, activity view, alert, collection view, image view, scroll view, table view, list view, text view, page views, iPad popover, iPad split view, web view;;Progressing;Exemplary;Exemplary;0;0;0;0;0
DES56;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design apps supporting Auto Layout and size classes to support multiple devices and screen sizes.;Auto layout, screen sizes, multiple device support;;Progressing;Exemplary;Exemplary;0;0;0;0;0
DES57;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can use refined, unobtrusive design decisions to incorporate my brand into my app while deferring to content.;Brand incorporation;;Progressing;Exemplary;0;0;0;0;0;0
DES58;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can use color and contrast effectively throughout an app to create consistent and clear communication.;Color and contrast;;Progressing;Exemplary;Proficient;0;Progressing;Progressing;0;0
DES59;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design and test colors that adapt to Dark Mode with sufficient contrast ratios even when users enable accessibility features.;Dark mode support, contrast ratios;;Progressing;Proficient;Proficient;0;0;0;0;0
DES60;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design consistent and judicious animations to convey context and feedback to users.;Animations, context, feedback;;Progressing;Proficient;0;0;Proficient;Proficient;0;0
DES61;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design beautiful and memorable home screen icons for my apps.;App icons, home screen icons;;Progressing;Exemplary;0;0;0;0;0;0
DES62;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design a launch screen that gives the impression that my app is fast and responsive.;Launch screen;;Progressing;Exemplary;0;0;0;0;0;0
DES63;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can effectively use familiar and informal terminology inside an app to help users feel comfortable.;Terminology, familiar, informal;;Progressing;Exemplary;0;0;0;0;0;0
DES64;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can use visual weight, balance and alignment to convey hierarchy, communicate importance and facilitate easily tappable content.;Visual balance, weight, tappable content;;Progressing;Exemplary;0;0;0;0;0;0
DES65;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can appropriately use modality to focus people’s attention on making a choice or performing a task that is different from their current task.;Modal, modality, focus user attention;;Progressing;Exemplary;Exemplary;0;0;0;0;0
DES66;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design apps with clear and informative loading experiences when necessary;;Loading experience;;Progressing;Exemplary;0;0;0;0;0
DES67;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design effective processes for adjusting settings where appropriate.;;Settings;;Exemplary;Progressing;0;Progressing;Progressing;0;0
DES68;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design experiences that effectively use Apple Pencil.;;Apple Pencil;;Beginning;0;0;0;0;0;0
DES69;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design great and appropriate audio experiences.;;Audio;;Progressing;0;0;Progressing;Progressing;0;0
DES70;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design effective and consistent drag and drop features.;;Drag and drop;;Progressing;Proficient;0;0;0;0;0
DES71;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design unobtrusive status feedback experiences.;;status feedback;;Proficient;0;0;0;0;0;0
DES72;Design;Hig Basic;Learn to create apps adhering to basic platform standards and paradigms using the Human Interface Guidelines.;I can design apps that effectively and consistently handle files and instill confidence in the user.;;File handling;;Progressing;0;0;0;0;0;0
